# Receiver Set: route rx                                                         
# Transmitter Set: tx                                                               
# Format: Path Number  Phase (Deg.)  Time (s)  Power (dBm)
     39
     1    191
  145   155.553   0.18002854E-07   -86.268
  146    95.064   0.18449786E-06   -86.844
  147    11.928   0.34812565E-07   -87.015
  148   169.189   0.22412951E-07   -87.089
  149    23.652   0.25588985E-07   -87.214
  150    -8.641   0.34826503E-07   -87.260
  151   114.661   0.18448246E-06   -87.504
  152   124.089   0.25859203E-07   -87.589
  153   150.835   0.22426159E-07   -88.634
  154   151.732   0.22424832E-07   -89.163
  155     7.192   0.21835023E-07   -91.313
  156    43.864   0.21805430E-07   -91.693
  157    58.342   0.14510010E-06   -92.031
  158   -55.487   0.21160892E-07   -92.099
  159    76.854   0.21778822E-07   -92.219
  160   131.660   0.14518420E-06   -92.352
  161    84.399   0.21306812E-07   -92.380
  162    71.846   0.14508959E-06   -92.743
  163    69.628   0.20058764E-07   -92.810
  164   144.635   0.14517410E-06   -93.061
  165   142.400   0.21872486E-07   -93.206
  166   158.280   0.21854126E-07   -94.501
  167   144.948   0.21862702E-07   -94.991
  168   142.524   0.21865500E-07   -95.000
  169   159.696   0.21853729E-07   -95.094
  170    57.842   0.20052852E-07   -95.547
  171   -78.645   0.36742914E-07   -96.222
  172   167.914   0.21870813E-07   -96.257
  173    35.686   0.26098162E-07   -96.266
  174   -42.391   0.16423659E-07   -96.768
  175    45.899   0.26091065E-07   -96.944
  176   178.234   0.21863702E-07   -96.986
  177   138.430   0.37209073E-07   -97.072
  178   149.420   0.21883476E-07   -97.138
  179   -97.610   0.26088200E-07   -97.783
  180   -16.257   0.16398110E-07   -98.619
  181    90.945   0.11907672E-06   -98.647
  182   144.871   0.11917992E-06   -98.714
  183    49.325   0.20081291E-07   -98.771
  184    49.243   0.20081295E-07   -98.779
  185    41.944   0.22223086E-07   -99.269
  186   136.717   0.23742514E-07   -99.395
  187   174.088   0.23130939E-07   -99.404
  188    82.284   0.26059967E-07   -99.435
  189    12.751   0.26797746E-07   -99.683
  190   132.873   0.29442646E-07   -99.742
  191    79.232   0.19748098E-07   -99.984
     2    213
    1  -110.084   0.66587966E-08   -28.333
    2   158.117   0.82942426E-08   -35.495
    3   114.042   0.83292271E-08   -35.758
    4    96.948   0.83684624E-08   -37.803
    5    54.251   0.84022389E-08   -38.026
    6   102.435   0.10046029E-07   -42.103
    7   106.809   0.10040202E-07   -42.818
    8   -67.722   0.12029941E-07   -48.029
    9    -8.976   0.12039698E-07   -49.651
   10    31.181   0.27101597E-07   -50.700
   11    11.934   0.11416208E-07   -52.235
   12   159.286   0.26623981E-07   -52.905
   13   110.936   0.11909052E-07   -53.132
   14   127.303   0.19213392E-07   -54.706
   15   -42.841   0.28438759E-07   -55.302
   16  -142.406   0.12530415E-07   -57.310
   17   -31.632   0.12442634E-07   -57.689
   18  -130.111   0.12521372E-07   -57.704
   19   -99.138   0.12496044E-07   -57.766
   20   -23.490   0.17230147E-06   -57.887
   21   -21.010   0.17230012E-06   -57.904
   22   106.887   0.12904599E-07   -58.012
   23   106.735   0.12904279E-07   -58.231
   24    21.566   0.12972442E-07   -58.395
   25  -106.359   0.16474466E-07   -60.018
   26    91.844   0.16372681E-07   -60.652
   27    83.532   0.12943087E-07   -60.896
   28    79.068   0.12948109E-07   -61.089
   29   -97.331   0.19810578E-07   -61.360
   30   -29.291   0.26130294E-06   -62.280
   31   -20.535   0.26129956E-06   -62.967
   32   106.108   0.56201063E-07   -63.063
   33   124.345   0.56329256E-07   -63.355
   34    10.268   0.56418553E-07   -63.618
   35   -12.854   0.56437155E-07   -63.753
   36   -44.590   0.56888666E-07   -63.785
   37   121.016   0.97902834E-07   -63.792
   38    -2.544   0.56428703E-07   -63.885
   39   125.252   0.97899537E-07   -64.196
   40   141.301   0.98028885E-07   -64.203
   41  -147.294   0.97972851E-07   -64.224
   42   143.203   0.98027307E-07   -64.240
   43    -6.456   0.56431904E-07   -64.377
   44   146.653   0.98024600E-07   -64.438
   45   123.617   0.17421627E-07   -64.712
   46   -13.089   0.98293086E-07   -64.732
   47   -13.979   0.98293732E-07   -64.958
   48    60.685   0.30536132E-07   -64.982
   49   126.985   0.17417140E-07   -65.294
   50  -174.548   0.26198413E-06   -65.343
   51  -113.483   0.19068679E-07   -65.560
   52    50.344   0.57096859E-07   -65.562
   53    58.523   0.57090283E-07   -65.841
   54  -179.752   0.98424415E-07   -65.873
   55    60.121   0.36108020E-07   -65.984
   56  -173.843   0.98419179E-07   -66.171
   57    47.631   0.57098568E-07   -66.261
   58    62.288   0.57087437E-07   -66.508
   59    97.241   0.98487689E-07   -66.766
   60  -164.769   0.98419200E-07   -66.910
   61   158.902   0.17271030E-06   -67.128
   62   -68.033   0.15176104E-07   -67.170
   63    13.602   0.30596222E-07   -67.418
   64   164.597   0.15563055E-07   -67.514
   65  -101.301   0.57213104E-07   -67.608
   66    58.140   0.23218481E-07   -67.708
   67   -94.720   0.57207711E-07   -67.926
   68   -89.016   0.99062362E-07   -67.946
   69  -146.974   0.57250244E-07   -68.394
   70  -115.543   0.15212844E-07   -68.415
   71   150.104   0.17442000E-07   -68.427
   72   -86.147   0.99059946E-07   -68.427
   73   110.029   0.98484755E-07   -68.459
   74   -18.642   0.26157244E-06   -68.858
   75   134.308   0.17329781E-06   -69.143
   76    15.867   0.26168740E-06   -69.149
   77  -103.885   0.99083792E-07   -69.292
   78   -87.969   0.58200193E-07   -69.302
   79    20.185   0.26168621E-06   -69.464
   80   -19.832   0.26828889E-06   -69.499
   81   -88.214   0.99071407E-07   -69.644
   82   -18.470   0.31121012E-07   -69.656
   83   -77.268   0.58191770E-07   -69.741
   84   -68.476   0.99055761E-07   -69.789
   85   -10.597   0.31111988E-07   -70.216
   86   -74.695   0.26175999E-06   -70.420
   87   -79.466   0.33301585E-07   -70.538
   88   103.459   0.26218689E-06   -70.549
   89    98.272   0.38446373E-07   -70.569
   90   -73.431   0.26175903E-06   -70.608
   91  -153.994   0.29535398E-07   -70.748
   92   -73.461   0.26847309E-06   -70.774
   93   167.282   0.59278836E-07   -70.812
   94   -38.848   0.26187394E-06   -70.899
   95   -35.701   0.26187362E-06   -71.025
   96   -69.063   0.26847104E-06   -71.059
   97   -34.546   0.26187274E-06   -71.214
   98   -60.036   0.58192285E-07   -71.244
   99   -69.435   0.26847138E-06   -71.247
  100    68.252   0.28649188E-07   -71.374
  101  -137.072   0.15568681E-07   -71.658
  102   109.191   0.28192714E-07   -71.673
  103   -29.419   0.58168077E-07   -71.830
  104  -177.287   0.14835937E-07   -72.222
  105   124.220   0.18171088E-07   -72.249
  106   -34.716   0.28450344E-07   -72.298
  107   161.424   0.14853448E-07   -72.355
  108    92.234   0.19617662E-07   -72.483
  109    72.572   0.28648337E-07   -72.747
  110   103.277   0.28622857E-07   -72.771
  111    70.435   0.20648169E-07   -73.677
  112  -152.292   0.28826676E-07   -74.225
  113    43.780   0.19651823E-07   -74.405
  114  -143.207   0.28395897E-07   -74.406
  115   163.285   0.18135053E-07   -74.446
  116    12.289   0.20271482E-07   -74.572
  117    12.284   0.20271486E-07   -74.580
  118  -152.676   0.28829211E-07   -74.633
  119   121.194   0.18167780E-07   -74.847
  120  -178.711   0.28848991E-07   -75.640
  121  -173.429   0.28848447E-07   -76.679
  122  -179.110   0.19594342E-07   -76.965
  123    -5.098   0.21597812E-07   -77.160
  124    84.568   0.15638545E-07   -77.174
  125   140.356   0.20877204E-07   -78.138
  126   148.977   0.20869242E-07   -79.370
  127   151.125   0.57000598E-07   -81.082
  128   136.377   0.20893975E-07   -81.101
  129   136.394   0.20893966E-07   -81.104
  130    53.375   0.19207103E-07   -81.542
  131   104.213   0.24475984E-07   -81.690
  132   149.895   0.57002730E-07   -82.018
  133    81.903   0.24492277E-07   -82.050
  134    73.284   0.18905192E-07   -82.309
  135   -98.703   0.22637842E-07   -82.645
  136   161.505   0.56995237E-07   -82.760
  137   -78.628   0.24196192E-07   -83.072
  138  -143.755   0.18817460E-07   -83.146
  139   -92.291   0.22629409E-07   -83.398
  140   -80.691   0.22618213E-07   -83.415
  141   -65.605   0.22606502E-07   -83.448
  142    -4.103   0.25257543E-06   -83.563
  143  -143.068   0.22533463E-07   -83.575
  144  -130.527   0.19121112E-07   -83.604
  145   -79.799   0.22617145E-07   -83.621
  146   -72.211   0.22612234E-07   -83.651
  147   -88.561   0.22624160E-07   -83.761
  148  -134.835   0.22658398E-07   -84.040
  149    16.620   0.19512667E-07   -84.193
  150   -36.766   0.26730445E-07   -84.215
  151  -124.801   0.22676083E-07   -84.530
  152  -178.709   0.19833161E-07   -84.539
  153   -50.581   0.22218373E-06   -84.632
  154   -84.818   0.22073497E-07   -84.644
  155   154.329   0.17423641E-07   -84.916
  156  -144.728   0.22211609E-06   -85.031
  157  -162.048   0.24685724E-07   -85.196
  158   -33.092   0.22216997E-06   -85.243
  159   154.865   0.19852218E-07   -85.678
  160   158.312   0.22577307E-07   -85.681
  161  -139.943   0.22556423E-07   -85.730
  162  -156.441   0.17383631E-07   -86.125
  163   -33.125   0.22602544E-07   -86.250
  164   161.393   0.24711284E-07   -86.590
  165   -60.327   0.26749861E-07   -86.805
  166  -143.917   0.32802738E-07   -87.132
  167  -128.858   0.24672556E-07   -87.197
  168    90.217   0.33044195E-07   -87.228
  169     9.906   0.26693414E-07   -88.015
  170   -55.081   0.18118874E-06   -88.017
  171   -70.872   0.33171268E-07   -88.021
  172   -85.671   0.33182747E-07   -88.170
  173    41.426   0.18125458E-06   -88.266
  174   -28.071   0.26719032E-07   -88.276
  175  -159.540   0.24694010E-07   -88.335
  176   -82.909   0.18135304E-06   -88.383
  177   -61.673   0.32793928E-07   -88.436
  178   -87.002   0.33183699E-07   -88.467
  179    30.057   0.18126374E-06   -88.938
  180    -2.739   0.24433074E-07   -88.966
  181    19.792   0.21940705E-07   -89.647
  182    -0.152   0.25258682E-07   -91.098
  183    -0.152   0.25258682E-07   -91.098
  184  -142.247   0.22963880E-07   -91.551
  185   160.550   0.30003061E-07   -91.677
  186    -0.436   0.23838540E-07   -91.724
  187   -65.986   0.29189415E-07   -92.007
  188   -82.971   0.29774355E-07   -92.527
  189   117.940   0.25190802E-07   -92.734
  190  -108.056   0.77789693E-07   -92.891
  191   -86.351   0.24471236E-07   -93.147
  192   -47.021   0.23872806E-07   -93.340
  193  -132.106   0.14182309E-06   -93.341
  194   128.838   0.20577211E-07   -93.342
  195   -60.356   0.14190844E-06   -93.659
  196   172.850   0.23698910E-07   -93.801
  197   149.962   0.30015240E-07   -93.862
  198   -87.328   0.30201058E-07   -94.203
  199   126.502   0.25305059E-07   -94.329
  200  -127.607   0.25221958E-07   -95.761
  201   104.218   0.30332323E-07   -95.916
  202   159.364   0.30271142E-07   -96.059
  203   -66.247   0.30183436E-07   -96.136
  204   -83.187   0.31488465E-07   -96.284
  205   -58.298   0.29605248E-07   -96.398
  206   158.704   0.30297301E-07   -96.512
  207   -90.100   0.30201594E-07   -97.064
  208   -34.302   0.30871405E-07   -97.421
  209   -81.398   0.39383096E-07   -97.436
  210   112.692   0.38943210E-07   -97.599
  211   -71.286   0.29625513E-07   -97.783
  212     3.447   0.31414796E-07   -98.067
  213   108.071   0.30472652E-07   -99.509
     3    219
    1     7.013   0.99944346E-08   -31.861
    2    11.379   0.12270027E-07   -36.796
    3    84.587   0.11211763E-07   -36.898
    4    36.294   0.11250100E-07   -37.107
    5   165.525   0.11168452E-07   -39.045
    6   132.039   0.11195447E-07   -39.420
    7  -113.305   0.12503048E-07   -41.323
    8  -119.196   0.12505033E-07   -42.217
    9   143.220   0.14151399E-07   -47.307
   10  -127.304   0.14134919E-07   -50.385
   11    86.780   0.13642577E-07   -51.514
   12  -145.867   0.30385195E-07   -51.567
   13  -113.910   0.31929321E-07   -52.169
   14   -65.368   0.14049034E-07   -52.311
   15   -24.378   0.14157473E-07   -52.327
   16   -83.614   0.29959615E-07   -53.930
   17    38.671   0.15532907E-07   -54.605
   18  -122.255   0.31843943E-07   -55.304
   19   -44.604   0.31583859E-07   -55.730
   20  -167.336   0.14552583E-07   -56.313
   21    61.847   0.14942380E-07   -56.457
   22   -63.352   0.15753479E-07   -56.607
   23  -105.331   0.14503037E-07   -56.659
   24   118.116   0.14897314E-07   -56.664
   25   111.577   0.14902310E-07   -57.076
   26  -165.632   0.14550396E-07   -57.188
   27    63.390   0.14940403E-07   -57.239
   28  -143.403   0.16896806E-06   -57.717
   29  -139.401   0.16896550E-06   -57.734
   30  -170.766   0.17984982E-07   -59.598
   31   102.175   0.18082011E-07   -60.502
   32  -155.666   0.25797468E-06   -62.169
   33    63.389   0.16220811E-07   -62.635
   34  -142.117   0.25796749E-06   -62.855
   35   -72.213   0.52914118E-07   -63.057
   36   -62.663   0.53049238E-07   -63.594
   37   149.536   0.53165451E-07   -63.787
   38    28.899   0.18956504E-07   -63.884
   39   -11.683   0.94579640E-07   -63.902
   40   175.040   0.53144941E-07   -63.914
   41   161.706   0.53155521E-07   -63.915
   42    69.043   0.94658297E-07   -63.934
   43    -4.177   0.94715702E-07   -63.949
   44    88.432   0.53640012E-07   -64.109
   45    40.628   0.54678296E-07   -64.150
   46     4.518   0.94708795E-07   -64.387
   47  -175.675   0.94993553E-07   -64.461
   48    -9.781   0.94720008E-07   -64.462
   49    42.117   0.18943606E-07   -64.636
   50  -165.597   0.94985495E-07   -64.676
   51   159.123   0.53157720E-07   -64.942
   52  -120.103   0.33538864E-07   -65.035
   53    41.771   0.25866959E-06   -65.233
   54   147.206   0.54740180E-07   -65.264
   55   -71.794   0.33499742E-07   -65.315
   56  -163.664   0.17255449E-07   -65.618
   57   -85.894   0.16907864E-07   -65.661
   58    25.997   0.95118125E-07   -65.666
   59    33.512   0.95111758E-07   -65.883
   60   173.618   0.53855814E-07   -66.266
   61   179.711   0.53851299E-07   -66.361
   62    28.481   0.95122971E-07   -66.634
   63     3.059   0.55275347E-07   -66.728
